Support Query,Top Category,Sub Category,Category Description
Can you explain the transaction fee on my account?,Transaction Services,Account Opening,the top category is Transaction Services - the sub category is Account Opening
"I noticed an unexpected account maintenance charge, what is this for?",Savings and Investments,Account Opening,the top category is Savings and Investments - the sub category is Account Opening
What are the fees associated with account maintenance?,Account Management,Account Maintenance,the top category is Account Management - the sub category is Account Maintenance
How can I avoid transaction fees in the future?,Online and Mobile Banking,Mortgage Services,the top category is Online and Mobile Banking - the sub category is Mortgage Services
Can you explain the transaction fee on my account?,Card Services,Fee Waivers,the top category is Card Services - the sub category is Fee Waivers
"I noticed an unexpected account maintenance charge, what is this for?",Account Management,Card Activation/Deactivation,the top category is Account Management - the sub category is Card Activation/Deactivation
What are the terms for a long-term deposit?,Savings and Investments,Rates and Terms,the top category is Savings and Investments - the sub category is Rates and Terms
"I was charged a fee for an ATM withdrawal, why?",Fees and Charges,Understanding Fees,the top category is Fees and Charges - the sub category is Understanding Fees
Can you explain the ATM withdrawals fee on my account?,Payments and Transfers,Identity Theft,the top category is Payments and Transfers - the sub category is Identity Theft
How can I avoid transaction fees in the future?,Online and Mobile Banking,Reporting Fraud,the top category is Online and Mobile Banking - the sub category is Reporting Fraud
Can you explain the ATM withdrawals fee on my account?,Card Services,Dispute Charges,the top category is Card Services - the sub category is Dispute Charges
Can you explain the online banking fee on my account?,Account Management,Loan Application,the top category is Account Management - the sub category is Loan Application
Can you explain the online banking fee on my account?,Payments and Transfers,Card Issuance,the top category is Payments and Transfers - the sub category is Card Issuance
Can you explain the online banking fee on my account?,Online and Mobile Banking,Fee Waivers,the top category is Online and Mobile Banking - the sub category is Fee Waivers
What are the fees associated with ATM withdrawals?,Customer Service,Account Maintenance,the top category is Customer Service - the sub category is Account Maintenance
"I noticed an unexpected account maintenance charge, what is this for?",Online and Mobile Banking,Loan Repayment,the top category is Online and Mobile Banking - the sub category is Loan Repayment
How can I avoid online banking fees in the future?,Online and Mobile Banking,Digital Banking Features,the top category is Online and Mobile Banking - the sub category is Digital Banking Features
How can I avoid wire transfers fees in the future?,Payments and Transfers,Rates and Terms,the top category is Payments and Transfers - the sub category is Rates and Terms
Can you explain the ATM withdrawals fee on my account?,Fraud and Security,Loan Application,the top category is Fraud and Security - the sub category is Loan Application
What are the charges for a wire transfer?,Fees and Charges,Understanding Fees,the top category is Fees and Charges - the sub category is Understanding Fees
What are the fees associated with account maintenance?,Card Services,Bill Payments,the top category is Card Services - the sub category is Bill Payments
Why was I charged a fee for account maintenance?,Fees and Charges,Payment Disputes,the top category is Fees and Charges - the sub category is Payment Disputes
